Park,country,longitude,latitude
Jerudong Park,Brunei,114.8304290618945,4.94892415
Appu Ghar,India,77.07220020317564,28.4607394
Kingdom of Dreams,India,77.06912641367134,28.46812985
Wonderla,India,77.4026801,12.8382537
Vismaya,India,74.9892798,12.5025753
Malampuzha Dam,India,76.684395,10.8287576
Adlabs Imagica,India,73.2799863,18.7661603
Kishkinta,India,80.0786706043578,12.9373218
MGM Dizzee World,India,80.2452821261002,12.82585705
VGP Universal Kingdom,India,80.25321334406098,12.9144942
Black Thunder,India,76.9132248,11.326354
Athisayam,India,78.04035563813338,9.96872115
Jalavihar,India,78.46534257257986,17.43253125
Ramoji Film City,India,78.67995706162694,17.252415300000003
Snow World,India,78.4808321,17.4143801
Wonderla,India,77.4026801,12.8382537
Aquatica,India,73.7217339,15.641782
Eco Park,India,88.4691955,22.6029772
Nicco Park,India,85.8266923,20.2901551
Science City,India,88.3958472226955,22.5400604
Jawa Timur Park,Indonesia,112.52469914092106,-7.88424595
Wisata Bahari Lamongan,Indonesia,112.35970801609287,-6.8656613
Ancol Dreamland,Indonesia,106.83763641501707,-6.1246478
Mall of Indonesia,Indonesia,106.89216085555555,-6.1509436
Taman Mini Indonesia Indah,Indonesia,106.89530159578769,-6.30283465
Trans Studio Bandung,Indonesia,107.6359244,-6.9278582
Trans Studio Cibubur,Indonesia,106.90238707432633,-6.374676750000001
Trans Studio Makassar,Indonesia,119.39407416850975,-5.15885295
Eram Park,Iran,51.288403283157244,35.7240818
Dream land,Iran,51.79096150122854,32.6362397
"Tokyo Disneyland, Tokyo DisneySea",Japan,139.881743348954,35.6325748
Space World,Japan,130.8063609,33.871264
Rusutsu Resort,Japan,140.91966951978037,42.730932499999994
Asahiyama Zoo,Japan,142.4792728778424,43.768642400000004
Himeji Central Park,Japan,134.75223207330816,34.869976
Yokohama Cosmo World,Japan,139.6355286590893,35.45566545
Nagashima Spa Land,Japan,136.7315597,35.0296052
Huis Ten Bosch,Japan,129.78831483344533,33.0862043
Universal Studios Japan,Japan,135.43244659642798,34.66620035
Tobu Zoo,Japan,139.71069749090026,36.02219255
Ōtsu,Japan,135.8686739,35.0047096
Hanayashiki,Japan,139.7946936731,35.7154993
Joypolis,Japan,139.77530376572844,35.6287179
Namco Namja Town,Japan,139.7196965,35.7288803
Sanrio Puroland,Japan,139.4294452913163,35.62456145
Tokyo Dome City,Japan,139.75258622953712,35.70498365
